Transect,Abudefduf_sexfasciatus,Abudefduf_vaigiensis,Amphiprion_clarkii,Amphiprion_frenatus,Chromis_cf_chrysura,Chromis_cf_ovatiformis,Chromis_cf_vanderbilti,Chromis_fumea,Chromis_lepidolepis,Chromis_margaritifer,Chromis_notata,Chromis_xanthura,Chrysiptera_cf_unimaculata,Chrysiptera_rex,Dascyllus_reticulatus,Dascyllus_trimaculatus,Neoglyphidodon_melas,Neoglyphidodon_nigroris,Neopomacentrus_azysron,Neopomacentrus_cyanomos,Plectroglyphidodon_cf_imparipennis,Plectroglyphidodon_cf_lacrymatus,Plectroglyphidodon_dickii,Plectroglyphidodon_johnstonianus,Pomacentrus_bankanensis,Pomacentrus_chrysurus,Pomacentrus_coelestis,Pomacentrus_lepidogenys,Pomacentrus_philippinus,Pomachromis_cf_richardsoni,Stegastes_cf_nigricans,Stegastes_cf_obreptus
O_HR_10_T2,0,0,0,0,0,0,0,0,0,122,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O_HR_10_T3,0,0,0,0,0,0,8,0,0,202,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
O_HR_10_T4,0,0,2,0,0,0,0,0,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
O_HR_10_T5,0,0,0,0,0,0,12,0,0,88,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
O_OR_10_T1,0,0,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
O_OR_10_T2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_OR_10_T3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
O_OR_10_T4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_OR_10_T5,0,0,0,0,0,3,0,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_TL_10_T1,0,0,0,0,0,0,458,0,0,118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_TL_10_T2,0,0,0,0,0,0,1032,0,0,170,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,1,0
O_TL_10_T3,0,0,2,0,0,0,193,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0
O_TL_10_T4,0,0,0,0,0,0,802,0,0,222,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0
O_TL_10_T5,0,0,0,0,0,0,710,0,0,655,0,1,0,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0
O_YY_10_T1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0
O_YY_10_T2,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
O_YY_10_T3,0,0,0,0,3,0,0,0,0,68,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_YY_10_T4,0,0,0,0,2,4,0,0,0,35,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_YY_10_T5,0,0,0,0,0,0,24,0,0,51,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
